id,organismo,linea_servicio,dia,fecha,afluencia_tarjeta,afluencia_boleto,afluencia_total_preliminar
133,Ecobici,N/A,Sábado,2020-07-11,,,"6,679"
134,Ecobici,N/A,Domingo,2020-07-12,,,"4,976"
135,Ecobici,N/A,Lunes,2020-07-13,,,"8,135"
136,Ecobici,N/A,Martes,2020-07-14,,,"8,389"
137,Ecobici,N/A,Miércoles,2020-07-15,,,"9,016"
138,Ecobici,N/A,Jueves,2020-07-16,,,"9,018"
139,Ecobici,N/A,Viernes,2020-07-17,,,"9,019"
140,Ecobici,N/A,Sábado,2020-07-18,,,"6,637"
141,Ecobici,N/A,Domingo,2020-07-19,,,"5,964"
142,Ecobici,N/A,Lunes,2020-07-20,,,"8,670"
143,Ecobici,N/A,Martes,2020-07-21,,,"9,235"
144,Ecobici,N/A,Miércoles,2020-07-22,,,"9,397"
145,Ecobici,N/A,Jueves,2020-07-23,,,"9,441"
146,Ecobici,N/A,Viernes,2020-07-24,,,"9,709"
147,Ecobici,N/A,Sábado,2020-07-25,,,"6,717"
148,Ecobici,N/A,Domingo,2020-07-26,,,"4,991"
149,Ecobici,N/A,Lunes,2020-07-27,,,"9,317"
150,Ecobici,N/A,Martes,2020-07-28,,,"9,871"
151,Ecobici,N/A,Miércoles,2020-07-29,,,"9,291"
152,Ecobici,N/A,Jueves,2020-07-30,,,"9,140"
153,Ecobici,N/A,Viernes,2020-07-31,,,"8,632"
154,Ecobici,N/A,Sábado,2020-08-01,,,"7,136"
155,Ecobici,N/A,Domingo,2020-08-02,,,"5,535"
156,Ecobici,N/A,Lunes,2020-08-03,,,"9,249"
157,Ecobici,N/A,Martes,2020-08-04,,,"9,220"
158,Ecobici,N/A,Miércoles,2020-08-05,,,"10,421"
159,Ecobici,N/A,Jueves,2020-08-06,,,"10,069"
160,Ecobici,N/A,Viernes,2020-08-07,,,"10,363"
161,Ecobici,N/A,Sábado,2020-08-08,,,"7,100"
162,Ecobici,N/A,Domingo,2020-08-09,,,"5,438"
163,Ecobici,N/A,Lunes,2020-08-10,,,"8,701"
164,Ecobici,N/A,Martes,2020-08-11,,,"9,736"
165,Ecobici,N/A,Miércoles,2020-08-12,,,"10,051"
166,Ecobici,N/A,Jueves,2020-08-13,,,"10,205"
167,Ecobici,N/A,Viernes,2020-08-14,,,"9,128"
168,Ecobici,N/A,Sábado,2020-08-15,,,"7,159"
169,Ecobici,N/A,Domingo,2020-08-16,,,"6,114"
170,Ecobici,N/A,Lunes,2020-08-17,,,"8,541"
171,Ecobici,N/A,Martes,2020-08-18,,,"9,586"
172,Ecobici,N/A,Miércoles,2020-08-19,,,"10,111"
173,Ecobici,N/A,Jueves,2020-08-20,,,"8,977"
174,Ecobici,N/A,Viernes,2020-08-21,,,"10,804"
175,Ecobici,N/A,Sábado,2020-08-22,,,"8,156"
176,Ecobici,N/A,Domingo,2020-08-23,,,"6,226"
177,Ecobici,N/A,Lunes,2020-08-24,,,"8,033"
